US-xDS,0.72,0.76,6,2019,2024,0.7,0.72,0.7,0.73,0.68,0.81,US-xDS,NEON Disney Wilderness Preserve (DSNY),CVM,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,1216.09,22.5,,,,0.723333333
US-xSL,0.51,0.82,6,2019,2024,0.84,0.8,-0.74,0.74,0.67,0.78,US-xSL,"NEON North Sterling, CO (STER)",CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,Arid,40.4619,-103.0293,1364,432.67,9.7,,,,0.515
US-xBR,0.74,0.78,6,2019,2024,0.76,0.83,0.58,0.76,0.75,0.78,US-xBR,NEON Bartlett Experimental Forest (BART),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,1246,5.6,,,,0.743333333
US-xHA,0.8,0.81,6,2019,2024,0.8,0.77,0.75,0.78,0.87,0.82,US-xHA,NEON Harvard Forest (HARV),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,1071,6.62,,,,0.798333333
US-xML,0.67,0.85,6,2019,2024,0.72,0.67,0.14,0.82,0.86,0.81,US-xML,NEON Mountain Lake Biological Station (MLBS),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,1227.82,8.8,,,,0.67
US-xSC,0.54,0.73,5,2020,2024,,0.22,0.39,0.58,0.75,0.76,US-xSC,NEON Smithsonian Conservation Biology Institute (SCBI),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,38.8929,-78.1395,361,1125.5,11.6,,,,0.54
US-xSE,0.64,0.83,6,2019,2024,0.31,0.42,0.72,0.85,0.87,0.66,US-xSE,NEON Smithsonian Environmental Research Center (SERC),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,38.8901,-76.56,15,1074.65,13.6,,,,0.638333333
US-xST,0.91,0.93,6,2019,2024,0.93,0.92,0.88,0.94,0.9,0.91,US-xST,NEON Steigerwaldt Land Services (STEI),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.5089,-89.5864,481,797.56,4.8,,,,0.913333333
US-xTR,0.6,0.8,6,2019,2024,0.41,0.74,0.76,0.89,0.78,0.01,US-xTR,NEON Treehaven (TREE),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.4937,-89.5857,472,797.56,4.8,,,,0.598333333
US-xUK,0.9,0.92,5,2020,2024,,0.89,0.88,0.93,0.92,0.91,US-xUK,NEON The University of Kansas Field Station (UKFS),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.0404,-95.1921,335,990.63,12.7,,,,0.906
