,site_ID,model,mean_r2_train,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2,IGBP description,koppen,koppen description,koppen_main_name,Latitude,Longitude,Elevation,train_r2_diff,test_r2_diff
4,US-xDS,MLP,76.00%,70.00%,72.00%,70.00%,73.00%,68.00%,81.00%,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,4.71%,5.07%
25,US-xDS,KAN,71.29%,62.33%,70.34%,59.90%,64.14%,60.83%,86.03%,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,,
13,US-xSL,MLP,82.00%,84.00%,80.00%,,74.00%,67.00%,78.00%,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,Arid,40.4619,-103.0293,1364,5.84%,7.22%
34,US-xSL,KAN,76.16%,74.69%,70.86%,,69.33%,66.09%,65.94%,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,Arid,40.4619,-103.0293,1364,,
0,US-xBR,MLP,78.00%,76.00%,83.00%,58.00%,76.00%,75.00%,78.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,1.48%,1.31%
21,US-xBR,KAN,76.52%,79.37%,81.90%,58.97%,70.88%,73.44%,73.57%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,,
5,US-xHA,MLP,81.00%,80.00%,77.00%,75.00%,78.00%,87.00%,82.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,2.10%,4.90%
26,US-xHA,KAN,78.90%,75.68%,73.48%,69.37%,65.28%,85.55%,80.25%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,,
7,US-xML,MLP,85.00%,72.00%,67.00%,14.00%,82.00%,86.00%,81.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,8.66%,10.87%
28,US-xML,KAN,76.34%,58.06%,57.92%,0.00%,79.43%,77.83%,63.55%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,,
